Entity1,Entity2,y_true,ChatGPT40-mini_baseline_y_pred,WebRag_y_pred
"|Brand: Everpure |Title: Everpure ESO7 Everplus Water Filter Cartridge |Price: 1.3132E2 GBP |Description: The ESO7 has a 2,300 litre* capacity based on influent water hardness of 150 ppm and is specialist filter that utilises an ion exchange resin and a coconut carbon filter to provide softened   buffered   filtered water.Please note: This is a non-standard stock item, which is subject to a minimum order quantity. Please contact us for more details.","|Title: DJI Mavic 2 Enterprise Dual |Price: 999999 EUR |Description: Mavic 2 Enterprise Dual - 4 Rotoren - 12 MP - 3840 x 2160 Pixel - 0,899 kg - 3850 mAh - Schwarz - Grau",0,0,0
"|Title: Replica watch Copy Rolex Datejust 31 Oystersteel 18 ct white gold M178274-0043 |Price: 122.4 USD |Description: Buy a High quality fake Copy Rolex Datejust 31 Oystersteel 18 ct white gold M178274-0043 I think is the best choice when you have no enough budget to buy a Genuine watch,We only offer AAA 1:1 replica watch,perfect functions,1:1 look and only cost you about $150.Basic information for Genuine watchSpecificationsReference: 178274Model case: Oyster, 31 mm, Oystersteel and white goldOyster architecture: Monobloc middle case, screw-down case back and winding crownDiameter: 31 mmMaterial: White Rolesor - combination of Oystersteel and 18 ct white goldBezel: FlutedWinding crown: Screw-down, Twinlock double waterproofness systemCrystal: Scratch-resistant sapphire, Cyclops lens over the dateWater-resistance: Waterproof to 100 metres 330 feetMovement: Perpetual, mechanical, self-windingCalibre: 2235, Manufacture RolexPrecision: -2 +2 sec day, after casingFunctions: Centre hour, minute and seconds hands. Instantaneous date with rapid setting. Stop-seconds for precise time settingWinding: Bidirectional self-winding via Perpetual rotorPower reserve: Approximately 48 hoursBracelet: Jubilee, five-piece linksBracelet material: OystersteelClasp: Concealed folding CrownclaspDial: Pink mother-of-pearl set with diamondsGem-setting: Diamonds in 18 ct gold settingsCertification: Superlative Chronometer (COSC + Rolex certification after casing)1:1 quality fake TAG Heuer Carrera Calibre 16 CBM2112.FC6455 on sale with low price,AAA replica tag heuer Carrera CBM2112.FC6455 with best service for you.","|Title: Copy Rolex Datejust 31 Oystersteel 18 ct yellow gold M278243-0013 Champagne-colour Dial |Price: 135 USD |Description: Buy Copy Rolex Datejust 31 Oystersteel 18 ct yellow gold M278243-0013 Champagne-colour Dial OnlineSpecificationsReference: 278243Model case: Oyster, 31 mm, Oystersteel and yellow goldOyster architecture: Monobloc middle case, screw-down case back and winding crownDiameter: 31 mmMaterial: Yellow Rolesor - combination of Oystersteel and 18 ct yellow goldBezel: DomedWinding crown: Screw-down, Twinlock double waterproofness systemCrystal: Scratch-resistant sapphire, Cyclops lens over the dateWater-resistance: Waterproof to 100 metres   330 feetMovement: Perpetual, mechanical, self-windingCalibre: 2236, Manufacture RolexPrecision: -2 +2 sec day, after casingFunctions: Centre hour, minute and seconds hands. Instantaneous date with rapid setting. Stop-seconds for precise time settingOscillator: Syloxi hairspring in silicon with patented geometry. High-performance Paraflex shock absorbersWinding: Bidirectional self-winding via Perpetual rotorPower reserve: Approximately 55 hoursBracelet: Oyster, flat three-piece linksBracelet material: Yellow Rolesor - combination of Oystersteel and 18 ct yellow goldClasp: Folding Oysterclasp with Easylink 5 mm comfort extension linkDial: Champagne-colourCertification: Superlative Chronometer (COSC + Rolex certification after casing)Our watches are in a price range between $100 to $500. Of course, we carry the latest models of well-known manufacturers such as Rolex, Omega, Cartier, TAG Heuer, Breitling. The latest models such as the Rolex replicas are offered here directly as a replica watch when the original appear in the bontique. We are just as up to date as your watches concessionaire around the corner. That's why we recommend you to visit our website regularly. Here in our online store, Swiss Replica Rolex Datejust 31 Oystersteel 18 ct yellow gold M278243-0013 Champagne-colour Dial at cheap discount.",0,0,0
"|Title: Ernie Ball P06044 Black Coiled Straight to Straight Instrument Cable - 9 Metre |Price: 57.50 AUD |Description: Ernie Ball instrument cables feature a high-quality design made with superior components that are built to last. Dual-conductors deliver reliably clear tone with crisp highs, tight mids, and rich harmonics. Multiple shielding materials preserve the signal with low handling noise, and the durable PVC jacket exterior ensures long-lasting performance. Cable length 30ft (9.14m).FeaturesAhigh-quality design made with superior componentsDual-conductors deliver reliably clear tone with crisp highs, tight mids, and rich harmonicsMultiple shielding materials preserve the signal with low handling noiseDurable PVC jacket exterior ensures long-lasting performanceWarranty:12Months","|Brand: Ernie Ball |Title: Ernie Ball Instrument Cable, iled, Black, 30ft"", ""Size: Cab |Price: 33.99 GBP |Description: Ernie Ball Instrument Cables feature a high-end design made with superior components that are built to last.Instrument Cables transmit a clean transparent signal that is superbly quiet while accurately and faithfully delivering all the frequencies your instrument produces.These cables feature a dual-shielded, dual-conductor design and custom shell casing resulting in a tangle-resistant cable with clear sound, low handling noise, and roadworthy durability. 99.99% oxygen-free copper to resist corrosion. Flexible, tangle resistant construction. Dual-shielded, dual-conductor design for durability and low noise. Voiced for a natural, transparent sound with balanced frequency response. Durable shell casing for lasting performance.EB6049 EB6048 EB6047 EB6046 EB6045 EB6044",1,1,1
|Title: Cleito 120 Glass By Aspire |Price: 3.50 GBP |Description: If you have dropped the Cleito 120and broken the glass no longer do you have to purchase a brand new unit. You can simply purchase the replacement glass sleeve from us and have your Cleito 120as new again.,"|Title: WS-C3650-8X24UQ-L - Cisco Catalyst 3650 Network Switch - Refurb'd |Price: 2345.00 USD |Description: REFURBISHED - Cisco 3650 Ethernet Switch - 24 ports w Optional Stacking - 16 x 10 100 1000, 8 x 100Mbps 1 2.5 5 10 Gbps Ethernet & 4x10G Uplink ports, 1100WAC power supply, LAN Base feature set (WS-C3650-8X24UQ L)",0,0,0
"|Title: Lezyne Tall Steel Drive Floor Pump |Price: 99.95 AUD |Description: DescriptionThe Lezyne Tall Steel Drive Floor Pump iseasy to sue with a tall comfortable design. With a steel barrel and piston matched to a sturdy aluminium base and high strength hose this pump is built to last. The ABS1 pro chuck lets riders inflate presta and schraed tubes and even remove presta valve cores. An oversived 3.5"" gauge makes getting your desired pressure hassle free as well. A reliable and versatile pump for keen cyclists.SpecificationsPresta and Schrader compatibleMax 220 psi15cm x 20cm x 63.5cmWeighs 1.7kg","|Title: Lezyne Alloy Floor Drive Pump Standard Length: ABS-1 Chuck, Silver |Price: 79.99 USD",0,0,0
|Brand: Dier |Title: EPSON WF-C8190   WF-C8690 INK CARTRIDGE XXL MAV |Price: 1005.03 TRY |Description: EPSON C13T04A240  WF-C8190   WF-C8690 yazclar iin Kartu XXL MAV 8000 sayfa,|Brand: Epson |Title: Epson DURABrite T0894 Ink Cartridge - Yellow |Price: 10.81 GBP |Description: Inkjet - 1,0,0,0
"|Title: Crucial Ballistix RGB 16GB Kit (2 x 8GB) DDR4-3000 Desktop Gaming Memory (Red) | BL2K8G30C15U4RL | Crucial UK |Price: 82.79 GBP |Description: Buy Crucial Ballistix RGB 16GB Kit (2 x 8GB) DDR4-3000 Desktop Gaming Memory (Red) BL2K8G30C15U4RL. FREE US Delivery, guaranteed 100% compatibility when ordering using our online tools.",|Title: Seagate Backup Plus Slim 2TB silber,0,0,0
"|Title: Autel Robotics EVO 2 Battery (600002020) |Price: 219.00 USD |Description: The Autel Robotics EVO 2 Intelligent Flight Battery, with a rated capacity of 82 Wh, has high-energy-density polymer lithium-ion cells. Its cells, powered by laminated cell technology, which greatly reduces the internal resistance and improves the available capacity of the battery, provide an excellent battery life of 40 min. The built-in Autel intelligent battery management system intelligently monitors battery power and various states of the battery, and can accurately calculate the remaining battery life to guarantee flight safety. It has multiple safety protections to prevent overcharge, over-discharge, over-current, over-temperature, under-temperature, short circuit, etc. It also enables static equalization, self-discharge storage mode, and ultra-low power mode.","|Title: Autel Robotics EVO II Pro Gimbal Camera 1\"" 6K Camera for EVO 2 Drones, In Stock |Price: 6.95E2 GBP |Description: EVO II PRO Gimbal CameraEVO II Pro Gimbal Camera, with a 1-inch sensor, can take photos with a resolution up to 20MP (5472 × 3648), and record 5.5K video at 30 fps or 2.7K video at 120 fps with a data rate up to 120 Mbps. Aperture can be adjusted from f 2.8 to f 11.EVO II Pro Gimbal Camera SpecsSensor: Sony IMX383 1” COMS SensorEffective Pixels: 20 MillionAperture: f 2.8 - f 11ISO Range: Video: 100 - 6400 Photo:100 - 12800Max Resolution: Stills: 5472*3648 Video: 5472*3076Format: MOV MP4Digital Zoom: 1 ~ 8X (Max. 4x lossless)Codec: H.264 H.265HDR Support: Defog,10-Bit LogAF Support: HistogramCompatibility: For EVO II Series Drone onlyPackage Content:1 x EVO II Pro Gimbal CameraHow to Install and Remove the Gimbal (Autel EVO II Series) [keywords]evo ii pro gimbal camera,6k gimble camera,evo 2 pro replaced camera",0,0,0
|Title: Charge Controller BlueSolar DUO PWM 24V-20A |Price: 116.99 USD |Description: Victron Charge Controller BlueSolar DUO 24V 20A   PWM controller   Charges two separate batteries,"|Brand: TISSOT |Title: TISSOT -T-Race Cycling Chronograph- T111.417.27.441.00 |Price: 458.15 EUR |Description: Swiss-made quartz movementWidth 44.5mmScratch-resistant sapphire crystalGender: MaleOrigin Swiss MadeCollection T-SportCase shape roundWaterproof up to a pressure of 10 bar (100 meters   330 feet)Housing material 316L stainless steel with black PVD PVD = Physical Vapour Deposition ist die wörtliche Übersetzung. Darunter versteht man die Vakuum-Metallisierung, also das Aufdampfen verschiedenster Materiallien wie z.B. Aluminium, Gold, Silber, Platin, Chrom usw. als Oberflächenveredelung. Diese Beschichtungsweisen werden überall eingesetzt, wo massive und teure Edelmetallteile durch beschichtete Komponenten ersetzt werden können.PVD = Physical vapour deposition is the word to word translation. PVD is a method of vacuum deposition and is a general term used to describe any of a variety of methods to deposit thin films by the condensation of a vaporized form of the material onto various surfaces ( e.g. aluminium, gold, silver, platinum, chrome, etc.) as a surface processing.These coating methods are used wherever solid and precious metals can be replaced by coated components. coatingLength 44.5mmLug 18mmThickness 11.4Engraved caseback, aluminum bezelWeight 92gDial color anthraciteDigits IndexCaliberThe indication for size and characteristic forms of movement, as well as the arrangement of plate, bridge, cock, barrel and escapement. ETA G10.212Dial (hour, minute, decentral second, date)Functions 30-minute and 10-second counters, central 60-second chronograph hand, add and split functionsTape siliconeFront SyntheticBack side syntheticTape color red, blackStandard buckleThe Tissot T-Race Cycling is perfect for tour cyclists, ambitious recreational athletes or professionals. The Tissot T-Race Cycling is a sporty quartz chronograph with numerous bike details: from the aluminum bezel, sitting on a carbon ring and symbolizing a rim, via the handle in brake handle look to the bicycle chain embossing on the inside of the bracelet. As an additional detail, the caseback is decorated with sprockets. The 316L stainless steel case with gray PVD coating and the scratch-resistant sapphire crystal protect the steel-gray dial and Swiss-Made Quartz Eine Quartzuhr ist eine Uhr, deren Taktgeber kein mechanisches Pendel, sondern ein elektronischer Quartzoszillator ist, dessen Frequenz mit Hilfe eines Schwingquartzes besonders genau eingehalten wird. Die Stromversorgung erfolgt mittels einer Batterie (Lebensdauer ca. 1 Jahr)A clock that doesn’t use a pendulum. to set the beat, but an electronic oscillator which is regulated by a quartz crystal to keep the time. This oscillator creates a signal with a very precise frequency. Its power supply comes from a battery ( durability about 1 year ) movement. The black and red silicone bracelet has a standard clasp.Watch rate warrantyEach of these clocks is subjected to a series of quality tests by our clockmakers just prior to its delivery. So any quality mistakes are nearly impossible!Original TISSOT box with detailed operating instructions",0,0,0
"|Title: Posca Paint Markers - Medium Bullet |Price: 5.36 CAD |Description: The PC-5M medium bullet tip marker is the \""multi-purpose\"" marker of the POSCA range. It produces neat and precise lines, and is ideal for coloring. An all-around favorite of both professionals and beginners. Non-toxic, water-based POSCA paint markers can be used on almost any surface, and are loved by professionals, creative hobbyists and amateurs alike. The alcohol and solvent-free opaque paint covers well, is blendable, dries quickly and can be overlaid when dry. ACMI certified and made in Japan. Available in 55 colors and eight tip sizes ranging from .7mm to 15mm for all types of art, craft, graffiti, decor and more.","|Title: Samsung MLT-D309L Black Compatible U.S. Made Laser Toner |Price: 1.2995E2 USD |Description: Our U.S. Made Samsung MLT-D309L Laser Toner is a compatible copy of Samsung's virgin Laser Toner.Our Samsung MLT-D309LLaser Toner yieldsaround 30000 pages, which means that it is equipped with enough toner to print at least 30000standard pagesbefore you need to order a new Inkpal Laser Toner.OurSamsung MLT-D309L Laser Tonerwas specially designed to comply with fundamental ISO-9001 product quality standards, ensuring that your cartridge will produce prints as well or even more efficiently than its OEM counterpart. The U.S. Made MLT-D309LLaser Toner can be used with every one of the Samsung printers located in our current compatibility list below.Printers Compatible with Our MLT-D309LToner CartridgeSamsung ML SeriesML5510 ML5510N ML5510ND ML5512 ML5512ND ML6510 ML6510ND ML6512 ML6512ND",0,0,0
