Entity1,Entity2,GPT_only_response,GPT_Travily_response,y_true,ChatGPT40-mini_baseline_y_pred,WebRag_y_pred
" Title: Posca Paint Markers - Medium Bullet  Price: 5.36 CAD  Description: The PC-5M medium bullet tip marker is the \""multi-purpose\"" marker of the POSCA range. It produces neat and precise lines, and is ideal for coloring. An all-around favorite of both professionals and beginners. Non-toxic, water-based POSCA paint markers can be used on almost any surface, and are loved by professionals, creative hobbyists and amateurs alike. The alcohol and solvent-free opaque paint covers well, is blendable, dries quickly and can be overlaid when dry. ACMI certified and made in Japan. Available in 55 colors and eight tip sizes ranging from .7mm to 15mm for all types of art, craft, graffiti, decor and more."," Title: Samsung MLT-D309L Black Compatible U.S. Made Laser Toner  Price: 1.2995E2 USD  Description: Our U.S. Made Samsung MLT-D309L Laser Toner is a compatible copy of Samsung's virgin Laser Toner.Our Samsung MLT-D309LLaser Toner yieldsaround 30000 pages, which means that it is equipped with enough toner to print at least 30000standard pagesbefore you need to order a new Inkpal Laser Toner.OurSamsung MLT-D309L Laser Tonerwas specially designed to comply with fundamental ISO-9001 product quality standards, ensuring that your cartridge will produce prints as well or even more efficiently than its OEM counterpart. The U.S. Made MLT-D309LLaser Toner can be used with every one of the Samsung printers located in our current compatibility list below.Printers Compatible with Our MLT-D309LToner CartridgeSamsung ML SeriesML5510 ML5510N ML5510ND ML5512 ML5512ND ML6510 ML6510ND ML6512 ML6512ND","('No, 100%',)","('No, 100%',)",0,0,0
 Title: Peak Design - Everyday Camera Sling v2 10L - By Peak Design  Price: 1.4995E2 USD  Description: Minimalist camera Everyday Sling v2 10L from Peak Design. Redesigned for more durability and sustainability. Available at Shop Moment.,"Brand: Peak design  Title: Peak Design Everyday Sling 10L Camera Bag - Ash  Price: 99.17 GBP  Description: Maglatch- Secure, silent, one-handed bag closure.Flexfold- Origami-inspired dividers redefined organistion.Expandable- Peak Design bags are designed from the ground-up to adapt to your carrying needs.Weatherproof-Kodra fabric keeps the elements away from your gear.Kodra Weave- Ultra-strong Kodra fabric is durable and handsome.Custom Hardware-Custom made hardware designed and built by Peak Design.","('Yes, 95%',)","('Yes, 95%',)",0,1,1
"Brand: Manfrotto  Title: Manfrotto tripod kit MVK500190XV Alu Video Kit  Price: 349.00 EUR  Description: The new MVK500190XV is a video system composed by MVH500AH fluid video head and dedicated 190X Video aluminium tripod, ensuring the utmost versatility and carrying convenience. The 500 head comes in the flat base version, for greater versatility when it comes to using it in combination with other video accessories (such as slider or jib). It also features fluid cartridges on both pan and tilt axes to ensure that every camera movement is smooth. It comes with a side lock system, allowing the camera and sliding plate to click quickly into the head from above, instead of needing to be aligned and slid in from the back. The side lock system also makes it quicker and simpler to lift the camera out of the head from above. The head has a pre-set counterbalance of 2.4 kg at 55mm C.O.G., but can support up to 5 kg of equipment. It has a 3 8\"" Easy Link connector to fit an external monitor or other accessories.The dedicated single leg, 3 section, aluminium 190X Video tripod features a levelling column for quick and easy set-up, easily extendable, adjustable legs and Quick Power Lock (QPL) levers that rapidly block or unblock each leg section. The tripod’s casting also features an Easy Link connector equipped with anti-rotation for accessories. The system can support up to 5 kg.","Brand: Manfrotto  Title: Manfrotto tripod kit MK190X3-3W1  Price: 239.00 EUR  Description: 190X Aluminum 3 section tripod kit with the 804RC2 3-way head with quick-release camera plate. Key Features: The key feature of the 190X is the ground level adaptor which allows great shooting creativity. Once placed on the top casting and combined with the 4 leg angles, it enables the tripod to reach ultra-low positions. The legs of the 190X tripod are fast to extend and adjust, thanks to the Quick Power Lock levers that block and unblock each leg section. The QPL levers are specially designed for a more comfortable and stronger single-handed grip of the leg locks. From a folded position, the sections of each leg of the tripod can be released in a single movement. The QPL lever design also offers more powerful locking of each section, meaning the tripod is more stable and rigid than with traditional lever designs. Intuitive and ergonomic leg angle selectors allow each leg to be independently and solidly set to any of the pre-set angles, allowing even greater positioning freedom. The top casting of the 190X has an Easy Link connector to support a photo or video accessory (such as a LED light, flash, reflector, or other piece of equipment) on an extending arm or bracket, turning the tripod into a practical mobile studio. The new updated 804 three-way photo head with quick release plate, specifically designed for compactness and transportability. This patented head ensures precise framing and solid support of medium-heavy camera equipment. The key feature of this new head is its retractable levers which fold away when not in use, making it more compact for easier portability. Its newly-designed ergonomic handles are made of special, grip-increasing rubber. The three-way head is made of Adapto, a lightweight polymer which keeps weight low while ensuring high mechanical resistance for sturdy support.","('No, 90%',)","('No, 80% certain.',)",0,0,0
" Title: HIKVISION DS-2DE4A225IW-DE 2MP IP-POE MINI PTZ 25X ZOOM 50M IR  Description: The Hikvision DS-2DE4A225IW-DE is a 2MP Mini PTZ camera with a 5mm - 75mm lens that allows optical zooming up to 25x. This camera has infra-red LEDs that are effective up to 50m and also works in ultra low light environments by using a range of image enhancing features: wide dynamic range (WDR), highlight back light compensation (HLC BLC), 3D digital noise reduction technology (3D DNR) and electronic image stabilization",Brand: Ice-Watch  Title: Ice-Watch016229 ICE Classic Uhr  Price: 69.95 EUR  Description: Gents fashion watch Size Large,"('No, 100%',)","('No, 100%',)",0,0,0
" Title: Citizen BN0190-82E Promaster Marine Eco-Drive Diver`s Watch  Price: 271.97 EUR  Description: stainless steel case, screw-in case back, unidirectional rotating black plated bezel, screw-down crown, mineral crystal, water resistant to 20 bar, width 44 mm, height 12,5 mm, stainless steel bracelet with slim polished stripes, safety folding clasp, solar-powered quartz movement Cal. E168, 180 days dark power reserve, date display, black dial, luminescent hands and indices, central seconds hand"," Title: Everyday Backpack 20L v2 - Charcoal  Price: 2,339.00 HKD  Description: FEATURESVERSATILEFeaturing a clean silhouette with minimal dangling straps, the all-new Everyday Backpack brilliantly adapts to your ever-changing gear, lifestyle, and environment.WHAT'S NEW FOR V2Aesthetic improvements via cleaner seams and more rounded profileMore internal pockets in top and sides of bag for increased organizationIncreased laptop, tablet, and document capacity - 20L now fits up to 15” laptopsAdjustable height laptop sleeveNew UltraZip external zippers, vastly more durable than conventional zipsNew external carry straps with improved Cord Hook connectors and more tie-down pointsNew outer fabric is 100% recycled and Bluesign certified (all colors except Black)Updated MagLatch hardware - more ergonomic and sleekWidened top and side access pointsMore volume in external side pockets for water bottles, tripods, etc.Revamped shoulder straps for increased comfort + magnetic strap holdsHIPBELT ACCESSORY COMING SOONA padded, stowable hipbelt accessory will soon be available for purchase for those who want added stability and comfort with heavy loads.INSTANT ACCESSFast, secure, one-handed top access via MagLatch hardwareDual side access via #8 weatherproof zipsExtra-durable UltraZip designEXPANDABLEMagLatch hardware provides internal expansion. +3L on the 20L bag, +8L on the 30L bagCUSTOM ORGANIZATIONBrilliantly customizable and protective internal organization via 3 easy-to-configure FlexFold dividersPOCKETS FOR DAYSStretchy internal side and top pockets for cards, cords, and moreInternal slip pockets for wallet, passport, and other important itemsDual external side pockets stretch to fit water bottles, tripods, etcLAPTOP SLEEVEProtective 15” laptop sleeve with pockets for tablets and documentsAdjustable for easy access to smaller laptopsEXTERNAL CARRY4 external carry straps for cinching down bulky items via our Cord Hook systemStraps stow beneath a magnetic sleeveQuick-connecting, stowable sternum strapULTIMATE COMFORTVented, quick-drying mesh back padding for breathable comfortShoulder straps pivot at axial points to optimize comfort with all body typesQuick-connecting, stowable sternum strapTRAVEL-FRIENDLYLuggage pass-through for easy and secure roller-top carry3 padded grab handles for upright or briefcase style hand carryPadded, stowable waist belt available (sold separately)DURABLE & WEATHERPROOFWeatherproof, 100% recycled 400D nylon canvas shell is DWR impregnated, double PU-coated, and Bluesign certified (all colors except Black)""SPECSWHAT IS IN THE BOX2 FlexFold dividers2 Cord Hook external carry straps20L SPECSCAPACITY17L min, 20L maxMAX LAPTOP CARRY38.1cm x 25.4cm x 2.5cm (15""x10""x1"")Holds 15 16” Macbook ProMAX TABLET CARRY30.6cm x 22.1cm x .7cm (12"" x 8.7"" x 0.3"")Holds 12.9"" iPad ProEXTERNAL DIMENSIONSTop MagLatch: 56.5cm x 21cm x 30cm (22.3"" x 8.3"" x 11.8"")Bottom Maglatch: 46.5cm x 21cm x 30cm (18.3"" x 8.3"" x 11.8"")INTERNAL DIMENSIONSTop MagLatch: 55cm x 16cm x 28.5cm (22"" x 6.3"" x 11.2"")Bottom MagLatch: 45cm x 16cm x 28.5cm (18"" x 6.3"" x 11.2"")WEIGHTWithout Dividers: 1.66kg (3.66lb)With Dividers: 2.01kg (4.43lb)SKU PART NUMBERBEDB-20-BK-2 (Black)BEDB-20-CH-2 (Charcoal)BEDB-20-AS-2 (Ash)BEDB-20-MN-2 (Midnight)30L SPECSCAPACITY22L min, 30L maxMAX LAPTOP CARRY40.6cm x 27.4cm x 3.8cm (16"" x 10.8"" x 1.5"")Holds 15 16” Macbook ProHolds most 16” laptopsMAX TABLET CARRY30.6cm x 22.1cm x .7cm (12"" x 8.7"" x 0.3"")Holds 12.9” iPad ProEXTERNAL DIMENSIONSTop MagLatch: 62cm x 36cm x 19.8cm (24.5"" x 14.2"" x 7.8"")Bottom Maglatch: 52cm x 36cm x 19.8cm (20.5"" x 14.2"" x 7.8"")INTERNAL DIMENSIONSTop MagLatch: 60cm x 31cm x 17cm (23.7"" x 12.2"" x 6.7"")Bottom MagLatch: 50cm x 31cm x 17cm (19.7"" x 12.2"" x 6.7"")WEIGHTWithout Dividers: 1.76kg (3.88lb)With Dividers: 2.11kg (4.65lb)SKU PART NUMBERBEDB-30-BK-2 (Black)BEDB-30-CH-2 (Charcoal)BEDB-30-AS-2 (Ash)BEDB-30-MN-2 (Midnight)MATERIALS400D double poly-coated DWR-impregnated nylon canvas shell100% recycled post-consumer materialBluesign approved (Charcoal, Ash, Midnight only)Solution-dyed to save energy & water (Charcoal only)900D waterproof bottom linerHigh-visibility grey nylon interior, Bluesign approvedHardware is anodized aluminum and glass-reinforced nylonSuper-durable UltraZipsAccents in leather (Charcoal, Ash, Midnight) or Hypalon (Black)","('No, 0%',)","('No, 95%',)",0,0,0
 Title: CH-31320-30-BK-GG 30 High Backless Black Metal Indoor-Outdoor Barstool with Square Seat by Flash Furniture  Price: 67.67 USD, Title: CH-31320-30-SIL-GG 30 High Backless Silver Metal Indoor-Outdoor Barstool with Square Seat by Flash Furniture  Price: 67.67 USD,"('No, 90% certain.',)","('No, 85% certain.',)",0,0,0
"Brand: Seagate  Title: EXT 1TB SG BACKUP+SLIM RED  Price: 106.18 BGN  Description: SEAGATE HDD 1TB EXT USB3.0 2.5\"" RED", Title: 2TB Backup Plus Slim - Red  Price: 119.99 NZD  Description: Textured metal finish fits in with modern lifestyle elements.,"('No, 95%',)","('No, 75%',)",0,0,0
" Title: Race X Lite Tube (700c, Presta Valve)  Price: 12.99 USD  Description: Reducing rotating weight is one of the greatest improvements you can make to any bike, which is why Bontrager's Race X Lite Tube uses a 0.6mm wall thickness to keep the weight low. And, it's...",Brand: CONTINENTAL  Title: CONTINENTAL CONTI R GP5000FLD 700x32C TUBELESS  Price: 109.99 AUD,"('No, 85%',)","('No, 95%',)",0,0,0
"Brand: HANNSPREE  Title: HANNSPREE 23.6'' HS246HFW IPS,HDMI,Speakers  Price: 0  Description: HANNSPREE 23.6'' HS246HFW IPS,HDMI,Speakers"," Title: 9 Seater Wicker Sofa set - Black  Price: 997.00 AUD  Description: Invite your friends and family over for a garden party or just sit back and relax with our Oudoor Sofa Dining Set. Being a 9-seater, the dining set provides enough room for all your guests to sit or for you to have a lie down and enjoy a book. You can arrange the seats in various ways depending on your needs and there are hooks included to secure the seats firmly together. The sofa is made of sturdy powder-coated steel frame with quality PE wicker finish that not only looks stylish but is perfect for outdoor use as it is both UV-resistant and weatherproof. The cushions and pillows on the sofa are 5cm thick to provide ultimate comfort and are waterproof as well. The set also includes a matching table that has a 5mm tempered glass top with buffers for added protection. There is a bonus storage cover for you can protect the set from sun and rain when not in use, so that you can keep enjoying your garden parties for many years to come.Features9-seater sofa dining setPowder-coated steel frameHigh-quality PE wicker finishUV-resistant for 1500 hours5mm thick tempered glass top5cm thick seat cushionsRemovable and washable coversSoft and comfortable pillowsFlexible arrangementEasy assembly*Storage cover is includedSpecifications:Frame material: SteelMaterial: PE WickerTable top: 5mm Tempered glassTable capacity: 70kgChair load-bearing: 300kgUV resistance: 1500 hours Table__118cm x 66xm x 70cm Double seat sofa: 102cm x 53cm x 68cmCorner sofa: 99cm x 53cm x 68cmOttoman__38cm x 38cm x 37cmCushion colour: Dark greyWicker colour: BlackPackage Content 2 x Double seat sofa 1 x Corner sofa1 x Table 3 x Ottoman 3 x Sofa cushion 7 x Pillow 3 x Ottoman cushion 1 x Storage cover 1 x Manual","('No, 100%',)","('No, 0%',)",0,0,0
" Title: Neff 75cm 5 Burner Gas Hob - Stainless Steel | T27DS59N0  Price: 499.99 EUR  Description: FlameSelect Thanks to the clever control of gas flow, the flame can be precisely adjusted in 9 gradations. Always the same reliable and precise power levels for outstanding cooking convenience.LPG jets (28-30 37mbar) included"," Title: Neff T29DS69N0 90cm 5 Burner FlameSelect Gas Hob - STAINLESS STEEL  Price: 479.00 GBP  Description: Style and sophistication arrive with the Neff T29DS69N0 92cm gas hob. With five heating areas, two standard, two economy and a wok burner this hob will have you cooking up a feast in no time! Featuring Neff's FlameSelect option, you have complete control over your gas flame level. The flame adapts to any dish. Simply select one of 9 levels and you can see how the flame becomes larger or smaller depending on how you need it. Perfect for boiling, simmering or searing! Sturdy cast iron pan supports and a stunning stainless steel finish ensure fashion and functionality in any kitchen.","('No, 70%',)","('No, I am 95% certain.',)",0,0,0
